Danh mục: Tất cả danh mục

Khu vực,Nước hoa: (01/01/2021 - 01/02/2021)
Ninh Bình,100
Hồ Chí Minh,80
tỉnh Kiên Giang,78
Đà Nẵng,76
Yên Bái,72
Cần Thơ,69
Hậu Giang,66
Bình Phước,65
Hải Dương,61
Hải Phòng,60
Hà Nội,60
Bình Dương,59
Hà Tĩnh,57
Đồng Nai,55
Bình Định,55
Khánh Hòa,53
Hà Giang,53
Đắk Lắk,53
Hà Nam,52
Nghệ An,52
Quảng Ninh,52
Gia Lai,51
Thái Nguyên,51
Bình Thuận,50
Cao Bằng,49
Cà Mau,49
Long An,49
Tiền Giang,48
Quảng Bình,48
Bà Rịa - Vũng Tàu,46
Vĩnh Phúc,45
Quảng Nam,44
Lạng Sơn,43
Sơn La,43
An Giang,43
Quảng Ngãi,41
Bắc Ninh,41
Đồng Tháp,39
Phú Thọ,39
Thanh Hoá,38
Thái Bình,37
Hưng Yên,37
Lâm Đồng,37
Tây Ninh,35
Ninh Thuận,35
Đăk Nông,33
Thừa Thiên Huế,33
Bạc Liêu,31
Bến Tre,31
Tuyên Quang,31
Vĩnh Long,29
Bắc Giang,28
Nam Định,25
Trà Vinh,24
Hòa Bình,23
Lào Cai,22
Quảng Trị,21
Phú Yên,21
Bắc Kạn,20
Kon Tum,18
Sóc Trăng,17
Lai Châu,16
Điện Biên,12
