No,Name,Type,Brand Name,Price,Currency,Link
1,BOSS Bottled Eau de Parfum,Eau de Parfum,Hugo Boss,135.80,EUR,https://www.nocibe.fr/hugo-boss-boss-bottled-eau-de-parfum-eau-de-parfum-vaporisateur-50-ml-s245900
2,Sauvage,Eau de Parfum,DIOR,137.50,EUR,https://www.nocibe.fr/dior-sauvage-eau-de-parfum-60-ml-s222876
3,BOSS Bottled Night,Eau de Toilette,Hugo Boss,96.67,EUR,https://www.nocibe.fr/hugo-boss-boss-bottled-night-edt-30-ml-vaporisateur-30-ml-s170444
4,Sauvage,Eau de Toilette,DIOR,93.17,EUR,https://www.nocibe.fr/dior-sauvage-eau-de-toilette-vaporisateur-60-ml-s204337
5,Le Male le Parfum,Eau de Parfum,Jean Paul Gaultier,94.54,EUR,https://www.nocibe.fr/jean-paul-gaultier-le-male-le-parfum-eau-de-parfum-75-ml-s244670
6,AMEN EDT 30 ML SEDUCING OFFER,Eau de Toilette,Mugler,96.67,EUR,https://www.nocibe.fr/mugler-amen-edt-30-ml-seducing-offer-eau-de-toilette-vaporisateur-30-ml-s212776
7,1 Million,Eau de Toilette,Paco Rabanne,93.80,EUR,https://www.nocibe.fr/paco-rabanne-1-million-eau-de-toilette-pour-homme-vaporisateur-50-ml-s155198
8,BOSS Bottled,Eau de Toilette,Hugo Boss,130.00,EUR,https://www.nocibe.fr/hugo-boss-boss-bottled-edt-30ml-vaporisateur-30-ml-s035256
9,Only the Brave,Eau de toilette,Diesel,100.00,EUR,https://www.nocibe.fr/diesel-only-the-brave-eau-de-toilette-vaporisateur-30-ml-s159650
10,Le Male,Eau de Toilette,Jean Paul Gaultier,97.50,EUR,https://www.nocibe.fr/jean-paul-gaultier-jean-paul-gaultier-le-male-eau-de-toilette-vaporisateur-40-ml-s152794
11,Spirit of the Brave,Eau de Toilette fraiche et boisée par Neymar Jr. x Diesel Parfums,Diesel,100.00,EUR,https://www.nocibe.fr/diesel-spirit-of-the-brave-eau-de-toilette-pour-homme-vaporisateur-35-ml-s237328
12,Armani Code Absolu Gold,Eau de Parfum,Giorgio Armani,107.22,EUR,https://www.nocibe.fr/giorgio-armani-armani-code-absolu-gold-eau-de-parfum-vaporisateur-60-ml-s240783
13,Hugo Just Different,Eau de Toilette,Hugo Boss,72.50,EUR,https://www.nocibe.fr/hugo-boss-hugo-just-different-eau-de-toilette-40-ml-s175187
14,1 MILLION PARFUM,PARFUM,Paco Rabanne,137.80,EUR,https://www.nocibe.fr/paco-rabanne-1-million-parfum-eau-de-parfum-50-ml-s243613
15,L!VE,Eau de toilette,Lacoste,72.50,EUR,https://www.nocibe.fr/lacoste-l-ve-eau-de-toilette-vaporisateur-40-ml-s187310
16,LACOSTE L.12.12 Blanc Pour Lui x Jeremyville,Eau de Toilette,Lacoste,45.30,EUR,https://www.nocibe.fr/lacoste-lacoste-l-12-12-blanc-pour-lui-x-jeremyville-eau-de-toilette-vaporisateur-100-ml-s240657
17,Valentino Uomo Born in Roma,Eau de Toilette haute couture oriental épicé,Valentino,139.00,EUR,https://www.nocibe.fr/valentino-valentino-uomo-born-in-roma-yellow-dream-eau-de-toilette-haute-couture-oriental-epice-vaporisateur-50-ml-s249131
18,"Terre d'Hermès, Eau de toilette éditionlimitée Flacon H",FRAGRANCE,Hermès,105.00,EUR,https://www.nocibe.fr/hermes-terre-d-hermes-eau-de-toilette-edition-limitee-100-ml-s252012
19,Match Point,Eau de Toilette,Lacoste,123.80,EUR,https://www.nocibe.fr/lacoste-match-point-eau-de-toilette-vaporisateur-50-ml-s242231
20,AZZARO WANTED,Eau de Toilette,Azzaro,133.34,EUR,https://www.nocibe.fr/azzaro-azzaro-wanted-eau-de-toilette-spray-15-ml-s232524
21,AZZARO WANTED BY NIGHT,Eau de Parfum,Azzaro,133.34,EUR,https://www.nocibe.fr/azzaro-azzaro-wanted-by-night-eau-de-parfum-spray-15-ml-s232525
22,Dior Homme,Eau de Toilette,DIOR,136.00,EUR,https://www.nocibe.fr/dior-dior-homme-eau-de-toilette-50-ml-s239552
23,INVICTUS,Eau de toilette,Paco Rabanne,127.80,EUR,https://www.nocibe.fr/paco-rabanne-invictus-eau-de-toilette-pour-homme-vaporisateur-50-ml-s181865
24,Explorer,Eau De Parfum,Montblanc,130.00,EUR,https://www.nocibe.fr/montblanc-explorer-eau-de-parfum-30-ml-s231287
25,Blue Jeans 75ml,Eau de Toilette,VERSACE,33.34,EUR,https://www.nocibe.fr/versace-blue-jeans-75ml-eau-de-toilette-75-ml-s094202
26,BOSS Orange Man,Eau de Toilette,Hugo Boss,72.50,EUR,https://www.nocibe.fr/hugo-boss-boss-orange-man-edt-40-ml-vaporisateur-40-ml-s180628
27,The Dreamer 50ml,Eau de Toilette,VERSACE,70.00,EUR,https://www.nocibe.fr/versace-the-dreamer-50ml-eau-de-toilette-vaporisateur-50-ml-s131607
