No,Name,Type,Brand Name,Price,Currency,Link
1,BLEU DE CHANEL Eau de Toilette,Size: 1.7 oz Eau de Toilette Spray,CHANEL,80.00,USD,https://www.sephora.com/product/bleu-de-chanel-P270302?icid2=products grid:p270302
2,BLEU DE CHANEL Eau de Parfum,Size: 1.7 oz Eau de Parfum Spray,CHANEL,98.00,USD,https://www.sephora.com/product/bleu-de-chanel-eau-de-parfum-P394949?icid2=products grid:p394949
3,Sauvage Eau de Toilette,Size: 2 oz/ 60 mL Eau de Toilette Spray,Dior,80.00,USD,https://www.sephora.com/product/sauvage-P400057?icid2=products grid:p400057
4,’REPLICA’ By the Fireplace,Size: 3.4 oz/ 100 mL Eau de Toilette Spray,Maison Margiela,135.00,USD,https://www.sephora.com/product/replica-by-fireplace-P404758?icid2=products grid:p404758
5,Tobacco Vanille,Size: 1.7 oz/ 50 mL Eau de Parfum ,TOM FORD,250.00,USD,https://www.sephora.com/product/tobacco-vanille-P393151?icid2=products grid:p393151
6,Oud Wood ,Size: 1.7 oz/ 50 mL Eau de Parfum Spray,TOM FORD,250.00,USD,https://www.sephora.com/product/oud-wood-P393167?icid2=products grid:p393167
7,Sauvage Eau de Parfum,Size: 2.0 oz/ 60 mL Eau de Parfum Spray,Dior,98.00,USD,https://www.sephora.com/product/sauvage-eau-de-parfum-P428500?icid2=products grid:p428500
8,’REPLICA’ Jazz Club,Size: 3.4 oz/ 100 mL Eau de Toilette Spray,Maison Margiela,135.00,USD,https://www.sephora.com/product/replica-jazz-club-P385350?icid2=products grid:p385350
9,ALLURE HOMME SPORT Eau de Toilette,Size: 1.7 oz Eau de Toilette Spray,CHANEL,80.00,USD,https://www.sephora.com/product/allure-homme-sport-P70400?icid2=products grid:p70400
10,Eros,Size: 3.4 oz/ 100 mL Eau de Toilette Spray,Versace,92.00,USD,https://www.sephora.com/product/eros-P382751?icid2=products grid:p382751
11,Ombré Leather,Size: 1.7 oz/ 50 mL Eau de Parfum Spray,TOM FORD,134.00,USD,https://www.sephora.com/product/ombre-leather-P433663?icid2=products grid:p433663
12,Wood Sage & Sea Salt Cologne,Size: 3.4 oz/ 100 mL  Spray,Jo Malone London,142.00,USD,https://www.sephora.com/product/wood-sage-sea-salt-cologne-P417179?icid2=products grid:p417179
13,Acqua Di Gio Pour Homme,Size: 3.4 oz/ 100 mL Eau de Toilette Spray,Armani Beauty,91.00,USD,https://www.sephora.com/product/acqua-di-gio-pour-homme-P12430?icid2=products grid:p12430
14,Angels Share Eau De Parfum,Not available,Kilian,195.00,USD,https://www.sephora.com/product/kilian-angels-share-eau-de-parfum-P465332?icid2=products grid:p465332
15,Bitter Peach Eau De Parfum,Size: 1.7 oz/ 50 mL Eau de Parfum Spray,TOM FORD,350.00,USD,https://www.sephora.com/product/tom-ford-bitter-peach-eau-de-parfum-P464304?icid2=products grid:p464304
16,Sauvage Parfum,Size: 3.4 oz / 100 mL Parfum Spray,Dior,155.00,USD,https://www.sephora.com/product/sauvage-parfum-P449122?icid2=products grid:p449122
17,Y Eau de Parfum,Size: 3.4 oz/ 100 mL Eau de Parfum Spray,Yves Saint Laurent,125.00,USD,https://www.sephora.com/product/y-eau-de-parfum-P436005?icid2=products grid:p436005
18,ALLURE HOMME SPORT EAU EXTRÊME Eau de Parfum,Size: 1.7 oz Eau de Parfum Spray,CHANEL,98.00,USD,https://www.sephora.com/product/allure-homme-sport-eau-extreme-P377719?icid2=products grid:p377719
19,No.04 Bois de Balincourt Eau de Parfum,Size: 1.7 oz/ 50 mL Eau de Parfum Spray,Maison Louis Marie,85.00,USD,https://www.sephora.com/product/n0-04-bois-de-balincourt-eau-de-parfum-P431160?icid2=products grid:p431160
20,Vanilla Woods Eau de Parfum,Size: 1.7 oz/ 50 mL Eau de Parfum Spray - Vanilla Woods Eau de Parfum,The 7 Virtues,79.00,USD,https://www.sephora.com/product/vanilla-woods-eau-de-parfum-P428713?icid2=products grid:p428713
21,'REPLICA' Coffee Break Eau de Toilette,Size: 3.4 oz/ 100 mL Eau de Toilette Spray,Maison Margiela,135.00,USD,https://www.sephora.com/product/maison-margiela-replica-coffee-break-eau-de-toilette-P461184?icid2=products grid:p461184
22,Dylan Blue,Size: 6.7 oz/ 200 mL Eau de Toilette Spray,Versace,122.00,USD,https://www.sephora.com/product/dylan-blue-P411325?icid2=products grid:p411325
23,BLEU DE CHANEL PARFUM,Size: 1.7oz / 50mL  Eau de Parfum Spray,CHANEL,125.00,USD,https://www.sephora.com/product/bleu-de-chanel-parfum-P432089?icid2=products grid:p432089
24,La Nuit De L’Homme,Size: 3.3 oz/ 100 mL Eau de Toilette Spray,Yves Saint Laurent,95.00,USD,https://www.sephora.com/product/la-nuit-de-l-homme-P243320?icid2=products grid:p243320
25,Spicebomb,Size: 1.7 oz/ 50 mL Eau de Toilette Spray,Viktor&Rolf,92.00,USD,https://www.sephora.com/product/spicebomb-P376737?icid2=products grid:p376737
26,Guilty Pour Homme,Size: 5 oz Eau de Toilette Spray,Gucci,130.00,USD,https://www.sephora.com/product/guilty-pour-homme-P285804?icid2=products grid:p285804
27,REPLICA Whispers In The Library,Size: 3.4 oz/ 100 mL Eau de Toilette spray,Maison Margiela,135.00,USD,https://www.sephora.com/product/replica-whispers-in-library-P443394?icid2=products grid:p443394
28,L'Homme,Size: 2 oz/ 60 mL Eau de Toilette Spray,Yves Saint Laurent,76.00,USD,https://www.sephora.com/product/l-homme-P180727?icid2=products grid:p180727
29,No.04 Bois de Balincourt Perfume Oil,Not available,Maison Louis Marie,57.00,USD,https://www.sephora.com/product/n0-04-bois-de-balincourt-perfume-oil-P431161?icid2=products grid:p431161
30,1 Million Eau de Toilette,Size: 3.4 oz/ 100 mL Eau de Toilette Spray,Paco Rabanne,94.00,USD,https://www.sephora.com/product/1-million-P269120?icid2=products grid:p269120
31,Rose Prick,Size: 1.7 oz/ 50 mL Eau de Parfum Spray,TOM FORD,350.00,USD,https://www.sephora.com/product/tom-ford-rose-prick-eau-de-parfum-P455598?icid2=products grid:p455598
32,Pour Homme,Size: 6.7 oz/ 200 mL Eau de Toilette Spray,Versace,120.00,USD,https://www.sephora.com/product/pour-homme-P219907?icid2=products grid:p219907
33,Neroli Portofino,Size: 1.7 oz/ 50 mL Eau de Parfum Spray,TOM FORD,250.00,USD,https://www.sephora.com/product/neroli-portofino-P378133?icid2=products grid:p378133
34,Y Eau de Toilette,Size: 3.3 oz/ 100 mL Eau de Toilette Spray,Yves Saint Laurent,97.00,USD,https://www.sephora.com/product/y-eau-de-toilette-P422354?icid2=products grid:p422354
35,Acqua Di Giò Pour Homme Profondo Eau de Parfum,Size: 4.2 oz/ 125 mL Eau de Parfum Spray,Armani Beauty,142.00,USD,https://www.sephora.com/product/armani-beauty-acqua-di-gio-pour-homme-profondo-eau-de-parfum-P456972?icid2=products grid:p456972
36,’REPLICA’ Jazz Club Travel Spray,Not available,Maison Margiela,30.00,USD,https://www.sephora.com/product/replica-travel-spray-P408227?icid2=products grid:p408227
37,Tuscan Leather,Size: 1.7 oz/ 50 mL Eau de Parfum Spray,TOM FORD,250.00,USD,https://www.sephora.com/product/tuscan-leather-P393153?icid2=products grid:p393153
38,Acqua Di Gio Profumo,Size: 1.35 oz Parfum Spray,Armani Beauty,80.00,USD,https://www.sephora.com/product/acqua-di-gio-profumo-P398665?skuId=1736271&icid2=products grid:p398665
39,Black Orchid Parfum,Size: 3.4 oz/ 100 mL Parfum Spray,TOM FORD,195.00,USD,https://www.sephora.com/product/tom-ford-black-orchid-parfum-P460873?icid2=products grid:p460873
40,Versace Man Eau Fraiche,Size: 6.7 oz/ 200 mL Eau de Toilette Spray,Versace,120.00,USD,https://www.sephora.com/product/versace-man-eau-fraiche-P169301?icid2=products grid:p169301
41,PLATINUM ÉGOÏSTE Eau de Toilette,Size: 1.7 oz Eau De Toilette Spray,CHANEL,80.00,USD,https://www.sephora.com/product/platinum-egoiste-P12542?icid2=products grid:p12542
42,Luna Rossa Carbon,Size: 3.4 oz/ 100 mL Eau de Toilette Spray,Prada,94.00,USD,https://www.sephora.com/product/luna-rossa-carbon-P417974?icid2=products grid:p417974
43,Light Blue Pour Homme Eau de Toilette,Size: 4.2 oz/ 125 mL Eau de Toilette Spray,DOLCE&GABBANA,90.00,USD,https://www.sephora.com/product/light-blue-pour-homme-P186402?icid2=products grid:p186402
44,Armani Code,Size: 1.7 oz/ 50 mL Eau de Toilette Spray,Armani Beauty,75.00,USD,https://www.sephora.com/product/armani-code-P96611?icid2=products grid:p96611
45,Invictus Eau de Toilette,Size: 3.4 oz/ 100 mL Eau de Toilette Spray,Paco Rabanne,94.00,USD,https://www.sephora.com/product/invictus-P389110?icid2=products grid:p389110
46,Uomo Born In Roma,Size: 1.7 oz/ 50 mL Eau de Toilette Spray,Valentino,77.00,USD,https://www.sephora.com/product/valentino-uomo-born-in-roma-P452943?icid2=products grid:p452943
47,Noir de Noir,Size: 1.7 oz/ 50 mL Eau de Parfum ,TOM FORD,250.00,USD,https://www.sephora.com/product/noir-de-noir-P393163?icid2=products grid:p393163
48,Noir Extreme,Size: 3.4 oz/ 100 mL Eau de Parfum Spray,TOM FORD,184.00,USD,https://www.sephora.com/product/noir-extreme-P395693?icid2=products grid:p395693
49,Sauvage Deodorant Stick,Not available,Dior,25.00,USD,https://www.sephora.com/product/sauvage-deodorant-stick-P408407?icid2=products grid:p408407
50,Costa Azzurra,Size: 1.7oz/ 50 mL Eau De Parfum Spray,TOM FORD,134.00,USD,https://www.sephora.com/product/tom-ford-costa-azzurra-eau-de-parfum-3-4-oz-P467979?icid2=products grid:p467979
51,Acqua di Gio Jumbo,Not available,Armani Beauty,134.00,USD,https://www.sephora.com/product/acqua-for-life-P385559?icid2=products grid:p385559
52,Legend Eau de Toilette,Size: 3.3 oz/ 100 mL Eau de Toilette Spray,Montblanc,92.00,USD,https://www.sephora.com/product/legend-P375713?icid2=products grid:p375713
53,1 Million Parfum,Size: 3.4 oz/ 100 mL Cologne Spray,Paco Rabanne,100.00,USD,https://www.sephora.com/product/paco-rabanne-1-million-parfum-P458631?icid2=products grid:p458631
54,"Black Phantom - ""Memento Mori""",Size: 1.7 oz/ 50 mL Eau de Parfum Spray,Kilian,240.00,USD,https://www.sephora.com/product/black-phantom-memento-mori-P429627?icid2=products grid:p429627
