No,Name,Type,Brand Name,Price,Currency,Link
1,BLEU DE CHANEL Eau de Toilette,Size: 1.7 oz Eau de Toilette Spray,CHANEL,80.00,USD,https://www.sephora.com/product/bleu-de-chanel-P270302?icid2=products grid:p270302
2,Sauvage Eau de Toilette,Size: 2 oz/ 60 mL Eau de Toilette Spray,Dior,80.00,USD,https://www.sephora.com/product/sauvage-P400057?icid2=products grid:p400057
3,BLEU DE CHANEL Eau de Parfum,Size: 1.7 oz Eau de Parfum Spray,CHANEL,98.00,USD,https://www.sephora.com/product/bleu-de-chanel-eau-de-parfum-P394949?icid2=products grid:p394949
4,Sauvage Eau de Parfum,Size: 2.0 oz/ 60 mL Eau de Parfum Spray,Dior,98.00,USD,https://www.sephora.com/product/sauvage-eau-de-parfum-P428500?icid2=products grid:p428500
5,’REPLICA’ By the Fireplace,Size: 3.4 oz/ 100 mL Eau de Toilette Spray,Maison Margiela,135.00,USD,https://www.sephora.com/product/replica-by-fireplace-P404758?icid2=products grid:p404758
6,Tobacco Vanille,Size: 1.7 oz/ 50 mL Eau de Parfum ,TOM FORD,250.00,USD,https://www.sephora.com/product/tobacco-vanille-P393151?icid2=products grid:p393151
7,Eros,Size: 3.4 oz/ 100 mL Eau de Toilette Spray,Versace,92.00,USD,https://www.sephora.com/product/eros-P382751?icid2=products grid:p382751
8,Oud Wood ,Size: 1.7 oz/ 50 mL Eau de Parfum Spray,TOM FORD,250.00,USD,https://www.sephora.com/product/oud-wood-P393167?icid2=products grid:p393167
9,’REPLICA’ Jazz Club,Size: 3.4 oz/ 100 mL Eau de Toilette Spray,Maison Margiela,135.00,USD,https://www.sephora.com/product/replica-jazz-club-P385350?icid2=products grid:p385350
10,Acqua Di Gio Pour Homme,Size: 3.4 oz/ 100 mL Eau de Toilette Spray,Armani Beauty,91.00,USD,https://www.sephora.com/product/acqua-di-gio-pour-homme-P12430?icid2=products grid:p12430
11,Y Eau de Parfum,Size: 3.4 oz/ 100 mL Eau de Parfum Spray,Yves Saint Laurent,125.00,USD,https://www.sephora.com/product/y-eau-de-parfum-P436005?icid2=products grid:p436005
12,Sauvage Parfum,Size: 3.4 oz / 100 mL Parfum Spray,Dior,155.00,USD,https://www.sephora.com/product/sauvage-parfum-P449122?icid2=products grid:p449122
13,Ombré Leather,Size: 1.7 oz/ 50 mL Eau de Parfum Spray,TOM FORD,134.00,USD,https://www.sephora.com/product/ombre-leather-P433663?icid2=products grid:p433663
14,Wood Sage & Sea Salt Cologne,Size: 3.4 oz/ 100 mL  Spray,Jo Malone London,142.00,USD,https://www.sephora.com/product/wood-sage-sea-salt-cologne-P417179?icid2=products grid:p417179
15,Rose Prick,Size: 1.7 oz/ 50 mL Eau de Parfum Spray,TOM FORD,350.00,USD,https://www.sephora.com/product/tom-ford-rose-prick-eau-de-parfum-P455598?icid2=products grid:p455598
16,Dylan Blue,Size: 6.7 oz/ 200 mL Eau de Toilette Spray,Versace,122.00,USD,https://www.sephora.com/product/dylan-blue-P411325?icid2=products grid:p411325
17,Angels Share Eau De Parfum,Size: 1.7 oz/ 50 mL,Kilian,195.00,USD,https://www.sephora.com/product/kilian-angels-share-eau-de-parfum-P465332?icid2=products grid:p465332
18,La Nuit De L’Homme,Size: 3.3 oz/ 100 mL Eau de Toilette Spray,Yves Saint Laurent,95.00,USD,https://www.sephora.com/product/la-nuit-de-l-homme-P243320?icid2=products grid:p243320
19,Tubéreuse Nue,Size: 1.7 oz/ 50 mL Eau de Parfum Spray,TOM FORD,350.00,USD,https://www.sephora.com/product/tom-ford-tubereuse-nue-P468710?icid2=products grid:p468710
20,Vanilla Woods Eau de Parfum,Size: 1.7 oz/ 50 mL Eau de Parfum Spray - Vanilla Woods Eau de Parfum,The 7 Virtues,79.00,USD,https://www.sephora.com/product/vanilla-woods-eau-de-parfum-P428713?icid2=products grid:p428713
21,1 Million Parfum,Size: 3.4 oz/ 100 mL Cologne Spray,Paco Rabanne,100.00,USD,https://www.sephora.com/product/paco-rabanne-1-million-parfum-P458631?icid2=products grid:p458631
22,Noir Extreme,Size: 3.4 oz/ 100 mL Eau de Parfum Spray,TOM FORD,184.00,USD,https://www.sephora.com/product/noir-extreme-P395693?icid2=products grid:p395693
23,BLEU DE CHANEL PARFUM,Size: 1.7oz / 50mL  Eau de Parfum Spray,CHANEL,125.00,USD,https://www.sephora.com/product/bleu-de-chanel-parfum-P432089?icid2=products grid:p432089
24,L'Homme,Size: 2 oz/ 60 mL Eau de Toilette Spray,Yves Saint Laurent,76.00,USD,https://www.sephora.com/product/l-homme-P180727?icid2=products grid:p180727
25,Guilty Pour Homme,Size: 5 oz Eau de Toilette Spray,Gucci,130.00,USD,https://www.sephora.com/product/guilty-pour-homme-P285804?icid2=products grid:p285804
26,Spicebomb,Size: 1.7 oz/ 50 mL Eau de Toilette Spray,Viktor&Rolf,92.00,USD,https://www.sephora.com/product/spicebomb-P376737?icid2=products grid:p376737
27,REPLICA Whispers In The Library,Size: 3.4 oz/ 100 mL Eau de Toilette spray,Maison Margiela,135.00,USD,https://www.sephora.com/product/replica-whispers-in-library-P443394?icid2=products grid:p443394
28,Pour Homme,Size: 6.7 oz/ 200 mL Eau de Toilette Spray,Versace,120.00,USD,https://www.sephora.com/product/pour-homme-P219907?icid2=products grid:p219907
29,Y Eau de Toilette,Size: 3.3 oz/ 100 mL Eau de Toilette Spray,Yves Saint Laurent,97.00,USD,https://www.sephora.com/product/y-eau-de-toilette-P422354?icid2=products grid:p422354
30,ALLURE HOMME SPORT Eau de Toilette,Size: 1.7 oz Eau de Toilette Spray,CHANEL,80.00,USD,https://www.sephora.com/product/allure-homme-sport-P70400?icid2=products grid:p70400
31,No.04 Bois de Balincourt Eau de Parfum,Size: 1.7 oz/ 50 mL Eau de Parfum Spray,Maison Louis Marie,85.00,USD,https://www.sephora.com/product/n0-04-bois-de-balincourt-eau-de-parfum-P431160?icid2=products grid:p431160
32,Bitter Peach Eau De Parfum,Size: 1.7 oz/ 50 mL Eau de Parfum Spray,TOM FORD,350.00,USD,https://www.sephora.com/product/tom-ford-bitter-peach-eau-de-parfum-P464304?icid2=products grid:p464304
33,’REPLICA’ Jazz Club Travel Spray,Size: 0.34 oz/ 10 mL Eau de Toilette Spray,Maison Margiela,30.00,USD,https://www.sephora.com/product/replica-travel-spray-P408227?icid2=products grid:p408227
34,'REPLICA' Coffee Break Eau de Toilette,Size: 3.4 oz/ 100 mL Eau de Toilette Spray,Maison Margiela,135.00,USD,https://www.sephora.com/product/maison-margiela-replica-coffee-break-eau-de-toilette-P461184?icid2=products grid:p461184
35,Tuscan Leather,Size: 1.7 oz/ 50 mL Eau de Parfum Spray,TOM FORD,250.00,USD,https://www.sephora.com/product/tuscan-leather-P393153?icid2=products grid:p393153
36,Neroli Portofino,Size: 1.7 oz/ 50 mL Eau de Parfum Spray,TOM FORD,250.00,USD,https://www.sephora.com/product/neroli-portofino-P378133?icid2=products grid:p378133
37,Guilty Eau de Parfum Pour Homme,Size: 3 oz/ 90 mL Eau de Parfum Spray,Gucci,125.00,USD,https://www.sephora.com/product/gucci-guilty-eau-de-parfum-pour-homme-P457489?icid2=products grid:p457489
38,Luna Rossa Carbon,Size: 3.4 oz/ 100 mL Eau de Toilette Spray,Prada,94.00,USD,https://www.sephora.com/product/luna-rossa-carbon-P417974?icid2=products grid:p417974
39,No.04 Bois de Balincourt Perfume Oil,Size: 0.50 oz/ 15mL,Maison Louis Marie,57.00,USD,https://www.sephora.com/product/n0-04-bois-de-balincourt-perfume-oil-P431161?icid2=products grid:p431161
40,Scarlet Poppy Cologne Intense,Size: 3.4 oz/ 100 mL  Spray,Jo Malone London,195.00,USD,https://www.sephora.com/product/jo-malone-london-scarlet-poppy-cologne-intense-P467626?icid2=products grid:p467626
41,1 Million Eau de Toilette,Size: 3.4 oz/ 100 mL Eau de Toilette Spray,Paco Rabanne,94.00,USD,https://www.sephora.com/product/1-million-P269120?icid2=products grid:p269120
42,Versace Man Eau Fraiche,Size: 6.7 oz/ 200 mL Eau de Toilette Spray,Versace,120.00,USD,https://www.sephora.com/product/versace-man-eau-fraiche-P169301?icid2=products grid:p169301
43,Luna Rossa Black Eau de Parfum,Size: 3.4 oz/ 101 mL Eau de Parfum ,Prada,102.00,USD,https://www.sephora.com/product/luna-rossa-black-P433656?icid2=products grid:p433656
44,Black Orchid Parfum,Size: 3.4 oz/ 100 mL Parfum Spray,TOM FORD,195.00,USD,https://www.sephora.com/product/tom-ford-black-orchid-parfum-P460873?icid2=products grid:p460873
45,Acqua Di Gio Profumo,Size: 1.35 oz Parfum Spray,Armani Beauty,80.00,USD,https://www.sephora.com/product/acqua-di-gio-profumo-P398665?skuId=1736271&icid2=products grid:p398665
46,Spicebomb Extreme,Size: 3.04 oz/ 90 mL,Viktor&Rolf,120.00,USD,https://www.sephora.com/product/spicebomb-extreme-P405501?icid2=products grid:p405501
47,Armani Code,Size: 1.7 oz/ 50 mL Eau de Toilette Spray,Armani Beauty,75.00,USD,https://www.sephora.com/product/armani-code-P96611?icid2=products grid:p96611
48,Sauvage Deodorant Stick,Size: 2.6 oz/ 74 g,Dior,25.00,USD,https://www.sephora.com/product/sauvage-deodorant-stick-P408407?icid2=products grid:p408407
49,Acqua Di Giò Pour Homme Profondo Eau de Parfum,Size: 4.2 oz/ 125 mL Eau de Parfum Spray,Armani Beauty,142.00,USD,https://www.sephora.com/product/armani-beauty-acqua-di-gio-pour-homme-profondo-eau-de-parfum-P456972?icid2=products grid:p456972
50,Uomo Born In Roma,Size: 1.7 oz/ 50 mL Eau de Toilette Spray,Valentino,77.00,USD,https://www.sephora.com/product/valentino-uomo-born-in-roma-P452943?icid2=products grid:p452943
