No,Name,Type,Brand Name,Price,Currency,Link
1,"Love, Don't Be Shy",Size: 1.7 oz/ 50 mL Eau de Parfum Spray,Kilian,240,USD,https://www.sephora.com/product/love-don-t-be-shy-P429621?icid2=products grid:p429621
2,Black Opium Eau de Parfum,Size: 3 oz/ 90 mL Eau de Parfum Spray,Yves Saint Laurent,128,USD,https://www.sephora.com/product/black-opium-P394534?icid2=products grid:p394534
3,CHANCE EAU FRAÎCHE Eau de Toilette,Size: 1.2 oz Eau de Toilette Spray,CHANEL,62,USD,https://www.sephora.com/product/chance-P257900?skuId=1218262&icid2=products grid:p257900
4,Chance Eau Tendre Eau de Parfum,Size: 3.4oz/100mL Eau de Parfum Spray,CHANEL,138,USD,https://www.sephora.com/product/chance-eau-tendre-eau-de-parfum-P440093?icid2=products grid:p440093
5,GABRIELLE CHANEL ESSENCE Eau de Parfum,Size: 1.2 oz/ 35 mL Eau de Parfum Spray,CHANEL,82,USD,https://www.sephora.com/product/gabrielle-chanel-essence-eau-de-parfum-P449555?skuId=2319630&icid2=products grid:p449555
6,Flowerbomb,Size: 3.4 oz/ 100 mL Eau de Parfum Spray,Viktor&Rolf,165,USD,https://www.sephora.com/product/flowerbomb-P255506?icid2=products grid:p255506
7,GABRIELLE CHANEL Eau de Parfum,Size: 3.4 oz/ 100 mL Eau de Parfum Spray,CHANEL,138,USD,https://www.sephora.com/product/gabrielle-chanel-eau-de-parfum-P422299?icid2=products grid:p422299
8,Not A Perfume,Size: 3.3 oz/ 100 mL Eau de Parfum Spray,Juliette Has a Gun,135,USD,https://www.sephora.com/product/not-perfume-P395313?icid2=products grid:p395313
9,`REPLICA` By the Fireplace,Size: 3.4 oz/ 100 mL Eau de Toilette Spray,Maison Margiela,135,USD,https://www.sephora.com/product/replica-by-fireplace-P404758?icid2=products grid:p404758
10,N�5 L`EAU,Size: 1.7 oz/ 50 mL Eau de Toilette Spray,CHANEL,108,USD,https://www.sephora.com/product/n5-l-eau-P412038?icid2=products grid:p412038
11,Bright Crystal,Size: 3 oz/ 90 mL Eau de Toilette Spray,Versace,99,USD,https://www.sephora.com/product/bright-crystal-P163103?icid2=products grid:p163103
12,Tobacco Vanille,Size: 1.0 oz/ 30 mL Eau de Parfum Spray,TOM FORD,155,USD,https://www.sephora.com/product/tobacco-vanille-P393151?skuId=2038867&icid2=products grid:p393151
13,Oud Wood ,Size: 1 oz/ 30 mL Eau de Parfum Spray,TOM FORD,155,USD,https://www.sephora.com/product/oud-wood-P393167?skuId=1855618&icid2=products grid:p393167
14,COCO MADEMOISELLE Eau de Parfum Intense,Size: 1.7 oz/ 50 mL Eau de Parfum Spray,CHANEL,115,USD,https://www.sephora.com/product/coco-mademoiselle-intense-eau-de-parfum-P429692?icid2=products grid:p429692
15,Libre Eau De Parfum,Size: 1.7 oz/ 50 mL Eau de Parfum Spray,Yves Saint Laurent,106,USD,https://www.sephora.com/product/libre-eau-de-parfum-P448102?icid2=products grid:p448102
16,Lost Cherry,Size: 1.7oz/ 50mL Eau de Parfum Spray,TOM FORD,350,USD,https://www.sephora.com/product/lost-cherry-P436489?icid2=products grid:p436489
17,J'adore Eau de Parfum,Size: 3.4 oz/ 100 mL Eau de Parfum Spray,Dior,135,USD,https://www.sephora.com/product/j-adore-eau-de-parfum-P6430?icid2=products grid:p6430
18,Gucci Flora Lavender Gorgeous Gardenia Eau de Toilette,Size: 1.6 oz/ 50 mL Eau de Toilette Spray,Gucci,85,USD,https://www.sephora.com/product/gucci-gucci-flora-lavender-gorgeous-gardenia-eau-de-toilette-P462366?icid2=products grid:p462366
19,Light Blue Eau de Toilette,Size: 3.3 oz/ 100 mL Eau de Toilette Spray,DOLCE&GABBANA,104,USD,https://www.sephora.com/product/light-blue-P12420?icid2=products grid:p12420
20,Donna Born In Roma Eau de Parfum,Size: 1.7 oz/ 50 mL Eau de Parfum Spray,Valentino,100,USD,https://www.sephora.com/product/born-in-roma-P449116?skuId=2249688&icid2=products grid:p449116
21,Her Eau de Parfum,Size: 1.6 oz/ 50 mL Eau de Parfum Natural spray,BURBERRY,99,USD,https://www.sephora.com/product/her-eau-de-parfum-P437631?icid2=products grid:p437631
22,Fucking Fabulous,Size: 1.7 oz/ 50 mL Eau de Parfum Spray,TOM FORD,350,USD,https://www.sephora.com/product/fucking-fabulous-P429291?icid2=products grid:p429291
