No,Name,Type,Brand Name,Price,Currency,Link
1,BLEU DE CHANEL Eau de Toilette,Size: 1.7 oz Eau de Toilette Spray,CHANEL,80.00,USD,https://www.sephora.com/product/bleu-de-chanel-P270302?icid2=products grid:p270302
2,BLEU DE CHANEL Eau de Parfum,Size: 1.7 oz Eau de Parfum Spray,CHANEL,98.00,USD,https://www.sephora.com/product/bleu-de-chanel-eau-de-parfum-P394949?icid2=products grid:p394949
3,Sauvage Eau de Toilette,Size: 2 oz/ 60 mL Eau de Toilette Spray,Dior,80.00,USD,https://www.sephora.com/product/sauvage-P400057?icid2=products grid:p400057
4,’REPLICA’ By the Fireplace,Size: 3.4 oz/ 100 mL Eau de Toilette Spray,Maison Margiela,135.00,USD,https://www.sephora.com/product/replica-by-fireplace-P404758?icid2=products grid:p404758
5,Tobacco Vanille,Size: 1.7 oz/ 50 mL Eau de Parfum ,TOM FORD,250.00,USD,https://www.sephora.com/product/tobacco-vanille-P393151?icid2=products grid:p393151
6,Oud Wood ,Size: 1.7 oz/ 50 mL Eau de Parfum Spray,TOM FORD,250.00,USD,https://www.sephora.com/product/oud-wood-P393167?icid2=products grid:p393167
7,Sauvage Eau de Parfum,Size: 2.0 oz/ 60 mL Eau de Parfum Spray,Dior,98.00,USD,https://www.sephora.com/product/sauvage-eau-de-parfum-P428500?icid2=products grid:p428500
8,’REPLICA’ Jazz Club,Size: 3.4 oz/ 100 mL Eau de Toilette Spray,Maison Margiela,135.00,USD,https://www.sephora.com/product/replica-jazz-club-P385350?icid2=products grid:p385350
9,ALLURE HOMME SPORT Eau de Toilette,Size: 1.7 oz Eau de Toilette Spray,CHANEL,80.00,USD,https://www.sephora.com/product/allure-homme-sport-P70400?icid2=products grid:p70400
10,Eros,Size: 3.4 oz/ 100 mL Eau de Toilette Spray,Versace,92.00,USD,https://www.sephora.com/product/eros-P382751?icid2=products grid:p382751
11,Ombré Leather,Size: 1.7 oz/ 50 mL Eau de Parfum Spray,TOM FORD,134.00,USD,https://www.sephora.com/product/ombre-leather-P433663?icid2=products grid:p433663
12,Wood Sage & Sea Salt Cologne,Size: 3.4 oz/ 100 mL  Spray,Jo Malone London,142.00,USD,https://www.sephora.com/product/wood-sage-sea-salt-cologne-P417179?icid2=products grid:p417179
13,K by Dolce & Gabbana,Size: 3.3 oz/ 100 mL Eau de Toilette Spray,DOLCE&GABBANA,94.00,USD,https://www.sephora.com/product/k-by-dolce-gabbana-P449367?icid2=products grid:p449367
14,Luna Rossa Black Eau de Parfum,Size: 3.4 oz/ 101 mL Eau de Parfum ,Prada,102.00,USD,https://www.sephora.com/product/luna-rossa-black-P433656?icid2=products grid:p433656
15,Homme Eau de Toilette,Size: 1.7 oz/ 50 mL Eau de Toilette Spray,Dior,77.00,USD,https://www.sephora.com/product/dior-homme-eau-de-toilette-P455023?icid2=products grid:p455023
16,The One For Men Eau De Parfum,Size: 5.0 oz Eau de Parfum Spray,DOLCE&GABBANA,134.00,USD,https://www.sephora.com/product/the-one-for-men-eau-de-parfum-P406330?icid2=products grid:p406330
17,"Straight To Heaven, White Cristal",Size: 1.7 oz/ 50 mL Eau de Parfum Spray,Kilian,240.00,USD,https://www.sephora.com/product/straight-to-heaven-white-cristal-P429629?icid2=products grid:p429629
18,ETERNITY FOR MEN,Size: 3.4 oz/ 100 mL Eau de Toilette Spray,Calvin Klein,85.00,USD,https://www.sephora.com/product/eternity-for-men-P4103?icid2=products grid:p4103
19,Reserve - Rain,Size: 3.4 oz/ 100 mL Eau de Parfum Spray,CLEAN RESERVE,98.00,USD,https://www.sephora.com/product/reserve-rain-P404358?icid2=products grid:p404358
