Danh mục: Tất cả danh mục
"nước hoa: (30/01/2020 - 30/01/2021, Việt Nam)"

TOP
Chanel,100
Nước hoa hồng,90
Gucci,80
CHANEL,65
Gucci,60
Dior,55
TOM FORD,45
Women's Perfume,45
Victoria’s Secret,35
Kilian,35
Versace,35
Mùi,30
Versace,30
Bvlgari Aqva Pour Homme Eau de Toilette,15
Chanel Bleu De Chanel Eau De Parfum,10
Mancera,10
Công ty Estée Lauder,5
Moschino SpA,5
Mamonde,5
Moschino,5
Jo Malone London,5

RISING
Bvlgari Aqva Pour Homme Eau de Toilette,Đột phá
Chanel Bleu De Chanel Eau De Parfum,Đột phá
Mancera,Đột phá
Công ty Estée Lauder,Đột phá
Moschino SpA,Đột phá
Mamonde,Đột phá
Moschino,Đột phá
Jo Malone London,Đột phá
Kilian,+500%
Chanel,+250%
Victoria’s Secret,+190%
TOM FORD,+150%
CHANEL,+60%
Dior,+50%
Gucci,+50%
Gucci,+40%

